,Client_ID,Risk_Tolerance,Bond_1_Price,Bond_2_Price,Bond_3_Price,Bond_1_Yield,Bond_2_Yield,Bond_3_Yield,Bond_1_Historical_Return,Bond_2_Historical_Return,Bond_3_Historical_Return,Bond_1_Duration,Bond_2_Duration,Bond_3_Duration,Bond_1_Credit_Rating,Bond_2_Credit_Rating,Bond_3_Credit_Rating,Inflation_Rate,Interest_Rate,Market_Condition,Timestamp
0,1,Low,91.14567689984132,93.1459760195795,104.97295233088052,0.02795253326335074,0.045857748918259805,0.04535624124785817,0.02674895970000472,0.011872315336819286,0.044149195353597584,4.190477929815723,4.656035843399295,6.503222915808829,AA,BBB,AAA,3.1482486501527003,2.492326240505118,Bull,2023-01-01
1,1,Low,99.59607282242918,109.1954584133193,99.71165023799699,0.019579240311737457,0.03788011125809249,0.025693966885467254,-0.002228876484986316,-0.00608389295171604,0.03350537017694154,4.182128622420213,5.411055106984156,4.033477514498035,AA,BBB,AA,3.402100355490033,2.70226001768025,Bear,2023-01-02
2,1,Medium,99.85269482356674,90.53123486198939,98.73408182820286,0.046292606483177345,0.017740561480082722,0.040466752723988905,-0.0009519603999537454,0.0263103390318668,0.018941700812827488,6.719540596059948,6.1782129404793285,4.0353038305557565,AA,AAA,AAA,3.7138609717979074,3.337519826666246,Bear,2023-01-03
3,1,Medium,100.79827693868036,90.962183826292,106.97479095187472,0.033331751144052,0.011570890238790228,0.041292115732609797,0.022723096580622288,0.016970239946433752,-0.0076854465853326125,4.56864275271821,6.726641405233467,3.2515633841439944,AA,BBB,A,2.915050480100567,2.176599287402376,Bear,2023-01-04
4,1,Medium,92.59424908850663,104.68895707572491,99.57785086236653,0.03626581668605919,0.04965205369336736,0.04941903056565118,0.04181678607790748,0.04814060441162017,0.023240168695047147,5.949511119540426,3.083065669403215,3.370094311466107,BBB,BBB,AAA,3.9701606289585065,2.313128804787997,Bull,2023-01-05
5,1,Low,94.31502845335358,104.66499402818243,93.41829152549234,0.04319790354653307,0.022143749750600475,0.013627609291378882,-0.01884974333901695,0.033622050455096864,0.030616789650583547,4.148863278511183,6.645957626242735,6.980133967693114,AAA,A,AA,2.2291471074977185,2.3133004610202166,Bear,2023-01-06
6,1,Medium,97.15698524960413,101.99867994380354,96.19115720402633,0.019800275481119484,0.038330924794889636,0.036999422608599654,0.012186817142472755,0.04648500641022579,0.04232990911822036,3.7389142208217843,6.151555720069304,5.118576365165952,A,A,AA,2.226681905807948,2.273268976609487,Bull,2023-01-07
7,1,High,109.72826712946286,103.65546250623765,90.57787684801694,0.016204677061526635,0.03638935413380469,0.01312266061850664,-0.019980080151353035,0.04034954636219083,-0.01246795588127695,6.684642210694176,4.293658338301254,6.394829895124563,AA,A,AAA,2.870871277332336,3.143842388092704,Bull,2023-01-08
8,1,Medium,101.43033648819222,108.26287217227981,105.36977239182181,0.03636197418143821,0.04878832058176357,0.015228950334427137,-0.016296182296190335,0.02386053554874357,-0.008997955255927585,5.357023756372261,5.070431796869876,6.769463438249826,AAA,AAA,AA,2.933589542960725,1.631874466753124,Bull,2023-01-09
9,1,High,105.45823697896193,90.94201059592028,94.61535962804317,0.034965474784348756,0.03451240283552794,0.019053833642091116,-0.009832390877774873,0.010948092181424344,-0.008259238440542242,5.46736785314456,4.744534916017734,3.5643807983531803,BBB,AAA,BBB,2.7178260855229794,2.7029661123682245,Bear,2023-01-10
10,1,High,96.44246147346934,99.2265638455473,107.49799783676004,0.02993140478866315,0.017650550491789162,0.02419649394432062,-0.009318047726773119,0.0008946222212330435,-0.0017302987011988263,4.343431331967217,5.90601444363438,6.021284139570858,AA,AAA,AA,3.657739678316639,1.7926974017967068,Bear,2023-01-11
11,1,Medium,108.00381073571064,99.41124491935048,109.8468005601589,0.03638602000920788,0.016207251618503067,0.02133828778458616,-0.0002005980643584246,0.04310786750946384,-0.009722764225448422,5.834243537113074,4.487803487076491,4.967100096448361,BBB,BBB,BBB,3.161798049345567,3.220465031659174,Bull,2023-01-12
12,1,Medium,99.77726767965267,108.28103053122119,91.3215547600862,0.025089414516524546,0.011120213767056067,0.020868526924334996,0.01085051857314465,0.02458245301076403,0.03857094762383524,6.592260169549533,3.3178970380797463,4.429787399064007,A,BBB,A,3.330410313780847,2.938492132329597,Bull,2023-01-13
13,1,High,108.76743948493002,90.94719948296498,90.99658835819146,0.0373612015849888,0.02404892290669353,0.03460779676925771,-0.007143260250067561,0.01832505729751233,0.031580943295224914,6.594705740053383,4.128982713926581,4.804813090201867,A,A,A,3.40335562898082,2.9623430803954456,Bull,2023-01-14
14,1,High,107.80557746808026,109.89968819378367,101.99879520286393,0.012727566399487304,0.04778702460648169,0.02958239615700206,-0.003238239329632797,0.025242186894047915,0.04571301247961013,4.003666051557476,5.7891472925629355,5.798290680759514,AAA,AAA,AAA,3.172178422267767,3.0142868399941776,Bull,2023-01-15
15,1,Medium,92.1772487397358,99.69876923106017,107.06763509308455,0.013847521416993169,0.03788460214384526,0.04476384585784612,0.03982241977916917,-0.01339006503583346,0.02133340501707944,6.4624933559106665,3.780901634808223,5.916236956792332,AA,A,A,3.636137299824271,2.0392634602011364,Bear,2023-01-16
16,1,High,101.85006558057513,109.69260451775983,108.7405143374811,0.03147967934655134,0.019347306452873796,0.038689628938630545,0.01941268312589257,0.0041151259254493255,0.027379099143368318,6.5803332699286,3.2594437380466954,4.0980336434220375,AA,A,BBB,3.8454363447300968,1.8146901291397513,Bull,2023-01-17
17,1,High,93.53527288268535,100.8708596292696,97.11035349259546,0.045134108493536475,0.029198584897143894,0.03956301379256515,-0.017385224116529374,0.02222920246513602,0.023984367325219174,6.158012499983666,5.039447565426304,3.004024391713824,AAA,BBB,BBB,2.248803312695229,2.011944244202488,Bear,2023-01-18
18,1,Medium,109.43584307851546,90.90421872623587,97.77887464901053,0.03935185685766467,0.03091521130472242,0.042079425652840986,0.02226449607546167,0.031771720455847335,0.015360599890974328,4.490069028649234,4.3074906009653,4.79732488819057,BBB,BBB,BBB,2.631917406867862,2.8573655863538585,Bull,2023-01-19
19,1,Medium,93.70470800960656,109.25509258725694,101.87660127620761,0.024775236756491598,0.03316110739915889,0.02063088438789646,0.010568384794133093,-0.019468091639800383,0.01881864592737809,4.65388977043335,5.766538590518767,6.551566315233322,BBB,AAA,A,2.0105899167041716,1.759811635577722,Bull,2023-01-20
20,1,High,95.48347389569047,108.41571888131199,105.33704919833366,0.04257115237134188,0.04275576484682421,0.041217394090964275,-0.008130919768132499,0.048583248853417846,0.030389176011555597,6.689201050640096,6.1032530828778375,5.1112051430907695,A,AA,AA,3.192600114164743,2.828779613086815,Bear,2023-01-21
21,1,Low,109.88219930496733,101.79751276577987,94.93710028560795,0.04587591475675237,0.03890907605676472,0.04219799805892097,-0.019720861583385596,0.0232922155142487,0.0362042822629262,6.22084507036438,6.923235141986966,4.723984630262342,BBB,AA,BBB,2.4261346019142933,1.6761356078707803,Bull,2023-01-22
22,1,Medium,99.06531737011426,105.63874030177993,104.99745630559276,0.02329063933015704,0.015851733906222652,0.013388690363921395,0.0004565192037648061,0.021672389727951154,0.03910305744162379,6.993161095533569,4.056410261397696,6.298876881127571,AA,A,AA,3.4446386297246834,2.4918336556446876,Bear,2023-01-23
23,1,Low,102.39291999603297,101.97682144964895,94.99858608448389,0.026323703299070952,0.04235772523967405,0.04726772148423231,0.043285461732917516,0.032402999950221945,0.03619714751754076,4.741235101014487,6.5767848929655255,5.394671475098101,A,BBB,AAA,3.1703629186741393,1.5811120095391973,Bear,2023-01-24
24,1,High,104.04847221383697,100.46864341918968,94.02635888724294,0.03800947474604771,0.04830212415500662,0.017899737666476213,0.026439988449274556,0.04072120923492871,-0.006028593044173939,6.148510615418601,4.687291192948344,4.121869383180208,AAA,A,BBB,2.580471438368481,2.085467080470453,Bull,2023-01-25
25,1,Low,107.09913619066769,108.31615491770293,94.4753691668816,0.013027560345285086,0.044838259805154226,0.01715215781780169,-0.011050627925881658,0.022004383354413837,0.026267314846522744,6.941897863274017,3.553573340618395,5.780755981741168,AA,AAA,AAA,2.2686660519685384,3.219566324589496,Bear,2023-01-26
